time (min),area (µm²),bacterium
1.0,1.300624,1
2.0,1.314144,1
3.0,1.295216,1
4.0,1.314144,1
5.0,1.341184,1
6.0,1.3357759999999999,1
7.0,1.3682239999999999,1
8.0,1.346592,1
9.0,1.389856,1
10.0,1.384448,1
11.0,1.3790399999999998,1
12.0,1.403376,1
13.0,1.414192,1
14.0,1.400672,1
15.0,1.416896,1
16.0,1.435824,1
17.0,1.4439359999999999,1
18.0,1.4574559999999999,1
19.0,1.46016,1
20.0,1.4682719999999998,1
21.0,1.462864,1
22.0,1.4682719999999998,1
23.0,1.5034239999999999,1
24.0,1.506128,1
25.0,1.5169439999999998,1
26.0,1.525056,1
27.0,1.5007199999999998,1
28.0,1.525056,1
29.0,1.5331679999999999,1
30.0,1.5466879999999998,1
31.0,1.538576,1
32.0,1.58184,1
33.0,1.59536,1
34.0,1.5764319999999998,1
35.0,1.6061759999999998,1
36.0,1.611584,1
37.0,1.598064,1
38.0,1.6359199999999998,1
39.0,1.6386239999999999,1
40.0,1.673776,1
41.0,1.6223999999999998,1
42.0,1.657552,1
43.0,1.6521439999999998,1
44.0,1.6683679999999999,1
45.0,1.69,1
46.0,1.7008159999999999,1
47.0,1.706224,1
48.0,1.7116319999999998,1
49.0,1.722448,1
50.0,1.7305599999999999,1
51.0,1.7684159999999998,1
52.0,1.7575999999999998,1
53.0,1.7873439999999998,1
54.0,1.7873439999999998,1
55.0,1.808976,1
56.0,1.8170879999999998,1
57.0,1.83872,1
58.0,1.8495359999999998,1
59.0,1.8522399999999999,1
60.0,1.8657599999999999,1
61.0,1.8603519999999998,1
62.0,1.8927999999999998,1
63.0,1.887392,1
64.0,1.9117279999999999,1
65.0,1.9252479999999998,1
66.0,1.930656,1
67.0,1.93336,1
68.0,1.9549919999999998,1
69.0,1.9604,1
70.0,1.976624,1
71.0,2.00096,1
72.0,2.019888,1
73.0,2.0334079999999997,1
74.0,2.0334079999999997,1
75.0,2.060448,1
76.0,2.0631519999999997,1
77.0,2.073968,1
78.0,2.090192,1
79.0,2.103712,1
80.0,2.146976,1
81.0,2.133456,1
82.0,2.14968,1
83.0,2.1632,1
84.0,2.1821279999999996,1
85.0,2.1848319999999997,1
86.0,2.1902399999999997,1
87.0,2.209168,1
88.0,2.20376,1
89.0,2.228096,1
90.0,2.2308,1
91.0,2.2443199999999996,1
92.0,2.268656,1
93.0,2.28488,1
94.0,2.292992,1
95.0,2.344368,1
96.0,2.3632959999999996,1
97.0,2.330848,1
98.0,2.357888,1
100.0,1.400672,1
101.0,1.373632,1
102.0,1.40608,1
103.0,1.3628159999999998,1
104.0,1.387152,1
105.0,1.389856,1
106.0,1.3952639999999998,1
107.0,1.4087839999999998,1
108.0,1.416896,1
109.0,1.4277119999999999,1
110.0,1.44664,1
111.0,1.44664,1
112.0,1.4547519999999998,1
113.0,1.4547519999999998,1
114.0,1.4736799999999999,1
115.0,1.4709759999999998,1
116.0,1.5034239999999999,1
117.0,1.5169439999999998,1
118.0,1.5034239999999999,1
119.0,1.522352,1
120.0,1.5331679999999999,1
121.0,1.5548,1
122.0,1.5629119999999999,1
123.0,1.5575039999999998,1
124.0,1.5602079999999998,1
125.0,1.587248,1
126.0,1.59536,1
127.0,1.6034719999999998,1
128.0,1.6088799999999999,1
129.0,1.6034719999999998,1
130.0,1.6034719999999998,1
131.0,1.59536,1
132.0,1.598064,1
133.0,1.630512,1
134.0,1.646736,1
135.0,1.627808,1
136.0,1.6359199999999998,1
137.0,1.6386239999999999,1
138.0,1.6629599999999998,1
140.0,1.6954079999999998,1
141.0,1.687296,1
142.0,1.7251519999999998,1
143.0,1.71704,1
144.0,1.735968,1
145.0,1.7413759999999998,1
146.0,1.7684159999999998,1
147.0,1.779232,1
148.0,1.7873439999999998,1
149.0,1.779232,1
150.0,1.81168,1
151.0,1.8333119999999998,1
152.0,1.8495359999999998,1
153.0,1.854944,1
154.0,1.857648,1
155.0,1.8738719999999998,1
156.0,1.8819839999999999,1
157.0,1.8900959999999998,1
158.0,1.900912,1
159.0,1.9198399999999998,1
160.0,1.9414719999999999,1
161.0,1.963104,1
162.0,1.9604,1
163.0,1.9793279999999998,1
164.0,1.9874399999999999,1
165.0,1.9982559999999998,1
166.0,2.022592,1
167.0,2.04152,1
168.0,2.028,1
169.0,2.057744,1
170.0,2.0712639999999998,1
171.0,2.0712639999999998,1
172.0,2.103712,1
173.0,2.117232,1
174.0,2.111824,1
175.0,2.144272,1
176.0,2.1523839999999996,1
177.0,2.1632,1
178.0,2.1848319999999997,1
179.0,2.195648,1
180.0,2.206464,1
181.0,2.2199839999999997,1
182.0,2.233504,1
183.0,2.260544,1
184.0,2.260544,1
185.0,2.2821759999999998,1
186.0,2.314624,1
187.0,2.328144,1
188.0,2.349776,1
189.0,2.3659999999999997,1
190.0,2.376816,1
191.0,2.3930399999999996,1
192.0,2.3632959999999996,1
193.0,2.4308959999999997,1
194.0,2.444416,1
195.0,2.441712,1
197.0,1.3519999999999999,1
198.0,1.357408,1
199.0,1.373632,1
200.0,1.376336,1
201.0,1.3979679999999999,1
202.0,1.40608,1
203.0,1.40608,1
204.0,1.414192,1
205.0,1.4250079999999998,1
206.0,1.4547519999999998,1
207.0,1.4844959999999998,1
208.0,1.495312,1
209.0,1.4844959999999998,1
210.0,1.481792,1
211.0,1.489904,1
212.0,1.506128,1
213.0,1.525056,1
214.0,1.525056,1
215.0,1.5304639999999998,1
216.0,1.5439839999999998,1
217.0,1.552096,1
218.0,1.565616,1
219.0,1.5899519999999998,1
220.0,1.59536,1
221.0,1.6034719999999998,1
222.0,1.598064,1
223.0,1.611584,1
224.0,1.611584,1
225.0,1.6196959999999998,1
226.0,1.6196959999999998,1
227.0,1.6223999999999998,1
228.0,1.644032,1
229.0,1.6629599999999998,1
230.0,1.671072,1
231.0,1.6548479999999999,1
232.0,1.692704,1
233.0,1.692704,1
234.0,1.692704,1
235.0,1.719744,1
236.0,1.7413759999999998,1
237.0,1.7440799999999999,1
238.0,1.7846399999999998,1
239.0,1.7846399999999998,1
240.0,1.7738239999999998,1
241.0,1.7603039999999999,1
242.0,1.7900479999999999,1
243.0,1.79816,1
244.0,1.841424,1
245.0,1.8333119999999998,1
246.0,1.854944,1
247.0,1.8738719999999998,1
248.0,1.8522399999999999,1
249.0,1.8792799999999998,1
250.0,1.868464,1
251.0,1.8955039999999999,1
252.0,1.9279519999999999,1
253.0,1.9225439999999998,1
254.0,1.9360639999999998,1
255.0,1.963104,1
256.0,1.9604,1
257.0,1.9874399999999999,1
258.0,1.9874399999999999,1
259.0,2.030704,1
260.0,1.9955519999999998,1
261.0,2.028,1
262.0,2.049632,1
263.0,2.060448,1
264.0,2.046928,1
265.0,2.084784,1
266.0,2.0955999999999997,1
267.0,2.1253439999999997,1
268.0,2.1226399999999996,1
269.0,2.1632,1
270.0,2.17672,1
